ORISPL,Name,Operator,County,SO2,SO2 rank,NOx,NOx rank,CO2,CO2 rank,Heat Input,Gross Load,Location
2291,North Omaha Station,Omaha Public Power District,Douglas,8902.074,53,3818.416,97,2355407.441,185,22511203.432,2239335.69,"NE
(41.3297, -95.9458)"
2324,Reid Gardner,NV Energy,Clark,231.558,295,423.235,299,453182.661,284,4320964.545,382880.3,"NV
(36.6531, -114.6364)"
2364,Merrimack,Public Service of New Hampshire,Merrimack,228.225,296,545.31,286,396316.424,288,3862042.559,402065.07,"NH
(43.1411, -71.4692)"
2367,Schiller,Public Service of New Hampshire,Rockingham,272.292,284,273.345,318,606479.927,269,5851301.861,420332.57,"NH
(43.0978, -70.7842)"
2378,B L England,"North American Energy Services, R.C. Cape May Holdings, LLC",Cape May,113.654,309,199.826,328,101961.697,317,993538.985,97100.64,"NJ
(39.29, -74.6339)"
2403,Hudson Generating Station,"PSEG Power, LLC",Hudson,18.459,322,175.268,335,239829.51,306,4152233.387,360962.56,"NJ
(40.7478, -74.0719)"
2408,Mercer Generating Station,"PSEG Power, LLC",Mercer,3.676,330,26.19,360,57917.887,321,889193.203,58065.51,"NJ
(40.1797, -74.7325)"
2442,Four Corners Steam Elec Station,Arizona Public Service Company,San Juan,4410.678,103,17353.262,1,6850158.75,73,66778030.724,7350466.73,"NM
(36.69, -108.4814)"
2451,San Juan,Public Service Company of New Mexico,San Juan,2912.962,134,14896.632,3,12423184.296,20,118476544.827,11386675.7,"NM
(36.8006, -108.4386)"
2527,Greenidge Generation LLC,Greenidge Generation LLC,Yates,,,,,,,,,"NY
(42.6789, -76.9483)"
2535,"Cayuga Operating Company, LLC","Cayuga Operating Company, LLC",Tompkins,737.334,252,348.522,312,632447.781,266,6164049.94,633323.04,"NY
(42.6028, -76.6336)"
2549,Huntley Power,"Huntley Power, LLC",Erie,752.561,250,142.794,340,286748.516,302,2734072.161,269619,"NY
(42.97, -78.93)"
2554,NRG Dunkirk Power,"NRG Energy, Inc",Chautauqua,,,,,,,,,"NY
(42.49, -79.35)"
2706,Asheville,"Duke Energy Progress, LLC",Buncombe,921.015,232,602.296,274,1460791.958,215,14242603.182,1491663.75,"NC
(35.4714, -82.5431)"
2712,Roxboro,"Duke Energy Progress, LLC",Person,8052.642,62,5480.675,66,8386389.673,53,81779374.058,4233203.53,"NC
(36.4833, -79.0731)"
2718,G G Allen,"Duke Energy Carolinas, LLC",Gaston,676.355,256,2167.222,143,1639274.366,209,15977356.918,1724763.63,"NC
(35.1897, -81.0122)"
2721,Cliffside,"Duke Energy Carolinas, LLC",Cleveland,584.484,261,1168.218,210,3594063.225,140,35029845.243,4052624.13,"NC
(35.22, -81.7594)"
2727,Marshall,"Duke Energy Carolinas, LLC",Catawba,4918.388,93,9389.498,23,9853506.315,36,96038068.446,10383184.47,"NC
(35.5975, -80.9658)"
2790,R M Heskett,Montana Dakota Utilities Company,Morton,1886.906,180,1015.559,226,569609.875,273,5232025.253,453257.15,"ND
(46.8669, -100.8839)"
2817,Leland Olds,Basin Electric Power Cooperative,Mercer,1928.103,177,7289.861,40,4998364.425,111,45911339.816,4462781.9,"ND
(47.2819, -101.3194)"
10111,DTE Pontiac North LLC,DTE Pontiac North LLC,Oakland,,,,,,,,,"MI
(42.6603, -83.2983)"
2823,Milton R Young,"Minnkota Power Cooperative, Inc.",Oliver,2638.254,149,8307.268,34,5412606.515,103,49716340.37,4815245.37,"ND
(47.0664, -101.2139)"
2824,Stanton,Great River Energy,Mercer,2478.993,154,1541.793,180,1216175.148,229,11595839.621,,"ND
(47.2872, -101.3314)"
2828,Cardinal,Cardinal Operating Company,Jefferson,9195.232,48,3754.8,101,9241400.689,42,90072155.276,9855056.15,"OH
(40.2522, -80.6486)"
2832,Miami Fort Power Station,"Dynegy Miami Fort, LLC",Hamilton,10213.228,39,5052.05,74,6718141.952,76,65479042.519,7428317.13,"OH
(39.1131, -84.8031)"
2836,Avon Lake Power Plant,NRG Power Midwest LP,Lorain,9020.502,49,2055.69,145,1150253.875,232,11211072.57,1193149.22,"OH
(41.5042, -82.05)"
2840,Conesville,"AEP Generation Resources, Inc.",Coshocton,5013.177,92,5981.942,59,5234883.457,107,51022283.167,4999699.95,"OH
(40.1842, -81.8811)"
2850,J M Stuart,Dayton Power and Light Company,Adams,9004.248,50,5465.369,68,11874380.802,24,115734719.801,12426803.54,"OH
(38.6361, -83.6939)"
2866,W H Sammis,FirstEnergy Generation Corporation,Jefferson,5713.149,85,4993.576,77,8562204.805,50,81638154.505,9021101.86,"OH
(40.5308, -80.6311)"
2876,Kyger Creek,Ohio Valley Electric Corporation,Gallia,3981.743,110,5821.611,63,5608699.25,99,54665716.265,5567500.86,"OH
(38.9161, -82.1281)"
2878,Bay Shore,FirstEnergy Generation Corporation,Lucas,2100.34,171,363.845,310,1352801.054,223,12828837.388,,"OH
(41.6925, -83.4375)"
2917,Hamilton Municipal Power Plant,City of Hamilton,Butler,,,,,,,,,"OH
(39.4099, -84.5544)"
2952,Muskogee,Oklahoma Gas & Electric Company,Muskogee,17804.509,16,6460.107,52,7610743.614,64,72689712.141,6786811.46,"OK
(35.7617, -95.2847)"
2963,Northeastern,Public Service Company of Oklahoma,Rogers,4137.958,106,1626.557,174,2673938.389,171,25495266.171,2487436.73,"OK
(36.4317, -95.7008)"
3118,Conemaugh,GenOn Northeast Management Company,Indiana,3646.59,115,11162.931,15,9673110.868,39,94580461.772,9964233.07,"PA
(40.3842, -79.0611)"
3122,Homer City,NRG Homer City Services LLC,Indiana,20482.247,13,11287.924,14,7163233.855,70,69817047.766,7266901.28,"PA
(40.511, -79.1968)"
3130,Seward,"NRG Wholesale Generation LP, Seward Generation, LLC",Indiana,7302.926,69,1745.74,167,3130604.304,153,30537546.346,,"PA
(40.4081, -79.0339)"
3131,Shawville,NRG REMA LLC,Clearfield,6.983,327,101.164,351,144087.301,311,2430630.265,220893.04,"PA
(41.067, -78.3656)"
3136,Keystone,GenOn Northeast Management Company,Armstrong,22402.999,10,13380.503,5,10830528.483,29,105560719.815,11019359.89,"PA
(40.6604, -79.3411)"
3138,New Castle,NRG Power Midwest LP,Lawrence,1648.419,187,779.622,253,631893.218,267,9392163.727,887402.59,"PA
(40.9378, -80.3681)"
3140,"Brunner Island, LLC","Talen Generation, LLC",York,5741.163,84,6280.851,54,3578485.117,142,35443761.296,3687718.87,"PA
(40.097, -76.6962)"
3149,"Montour, LLC","Talen Generation, LLC",Montour,7655.315,66,8078.858,35,4353113.83,126,42428005.112,4792184.36,"PA
(41.0714, -76.6672)"
3287,McMeekin,South Carolina Electric & Gas Company,Lexington,377.425,275,456.67,294,538683.793,275,8569020.484,989469.17,"SC
(34.0533, -81.2178)"
3297,Wateree,South Carolina Electric & Gas Company,Richland,819.846,246,1786.609,163,3424878.979,145,33380954.594,3702135.66,"SC
(33.8264, -80.6218)"
3298,Williams,South Carolina Generating Company,Berkeley,510.002,264,1539.831,181,2760268.863,167,26903226.346,3231559.06,"SC
(33.0163, -79.9285)"
3393,Allen,Tennessee Valley Authority,Shelby,7692.753,65,1494.587,184,3967906.972,131,37832889.251,3858012.27,"TN
(35.0742, -90.1439)"
3396,Bull Run,Tennessee Valley Authority,Anderson,359.948,278,897.135,237,2052657.452,199,20006409.107,2132671.81,"TN
(36.0211, -84.1567)"
3399,Cumberland,Tennessee Valley Authority,Stewart,10123.301,42,4779.066,80,13745957.608,12,133976165.328,13731834.16,"TN
(36.3903, -87.6539)"
3403,Gallatin,Tennessee Valley Authority,Sumner,1399.817,203,6860.671,47,6263039.696,84,59716236.374,5964440.08,"TN
(36.3156, -86.4006)"
3406,Johnsonville,Tennessee Valley Authority,Humphreys,9200.614,47,1823.656,160,2572623.517,174,24690280.479,2185834.53,"TN
(36.0278, -87.9861)"
3407,Kingston,Tennessee Valley Authority,Roane,2453.093,156,2098.242,144,6330952.854,83,61027131.87,5780753.02,"TN
(35.8992, -84.5194)"
3470,W A Parish,"NRG Energy, Inc",Fort Bend,34135.253,2,3594.993,103,14121527.847,10,134940805.789,13460841.3,"TX
(29.4783, -95.6358)"
3497,Big Brown,Luminant Generation Company LLC,Freestone,42469.916,1,4506.878,83,7498037.822,67,68871447.045,6751021.4,"TX
(31.8206, -96.0561)"
3644,Carbon,Pacificorp Energy Generation,Carbon,,,,,,,,,"UT
(39.7272, -110.8644)"
3797,Chesterfield Power Station,Dominion Generation,Chesterfield,2166.128,169,1604.147,177,6683164.753,78,65138020.144,6655011.19,"VA
(37.3822, -77.3833)"
3809,Yorktown Power Station,Dominion Generation,York,2851.888,135,828.071,245,338168.441,298,3295978.132,357203.4,"VA
(37.2144, -76.4611)"
3845,Centralia,TransAlta,Lewis,1438.417,199,5009.245,76,5570847.302,101,53116406.488,4914193.22,"WA
(46.7559, -122.8578)"
3935,John E Amos,Appalachian Power Company,Putnam,5265.357,88,6284.782,53,15011480.411,8,146310749.435,15508322.41,"WV
(38.4731, -81.8233)"
3936,Kanawha River,Appalachian Power Company,Kanawha,,,,,,,,,"WV
(38.2056, -81.4211)"
3943,Fort Martin Power Station,Monongahela Power Company,Monongalia,2477.87,155,9788.579,21,6637062.063,79,63282524.811,7378365.01,"WV
(39.7107, -79.9275)"
3944,Harrison Power Station,Allegheny Energy,Harrison,8541.504,56,11981.553,12,13361830.663,14,130232312.757,13939553.35,"WV
(39.3844, -80.3325)"
3948,Mitchell (WV),Kentucky Power Company,Marshall,3604.55,117,3380.729,113,8016543.759,60,78133966.241,8304800.81,"WV
(39.8297, -80.8153)"
3954,Mount Storm Power Station,Dominion Generation,Grant,3426.018,123,3468.885,109,9673863.037,38,94287175.473,9678277.63,"WV
(39.2014, -79.2667)"
3982,Bay Front,Northern States Power (Xcel Energy),Ashland,96.441,312,319.214,314,292737.035,301,2809623.377,164363.08,"WI
(46.5869, -90.9017)"
4041,South Oak Creek,Wisconsin Electric Power Company,Milwaukee,89.121,315,1456.221,187,4706948.823,118,44914886.267,4251536.93,"WI
(42.8457, -87.8294)"
4050,Edgewater (4050),Wisconsin Power & Light Company,Sheboygan,5981.327,79,1306.702,199,4063294.085,129,38742333.498,3700294.42,"WI
(43.715, -87.7094)"
4072,Pulliam,Wisconsin Public Service Corporation,Brown,747.17,251,400.834,305,370793.212,294,3647067.189,361611.41,"WI
(44.5397, -88.0083)"
4078,Weston,Wisconsin Public Service Corporation,Marathon,1337.185,205,1005.122,227,3723203.79,135,35534770.6,4170908.68,"WI
(44.8606, -89.6553)"
4125,Manitowoc,Manitowoc Public Utilities,Manitowoc,262.673,286,75.648,354,222106.084,308,2130630.342,,"WI
(44.082, -87.6558)"
4143,Genoa,Dairyland Power Cooperative,Vernon,252.924,288,577.513,280,1055775.364,238,10066523.441,981068.95,"WI
(43.5592, -91.2333)"
4158,Dave Johnston,Pacificorp Energy Generation,Converse,8527.055,57,6941.846,44,6107335.653,87,58231591.82,5582080.44,"WY
(42.8378, -105.7769)"
4162,Naughton,Pacificorp Energy Generation,Lincoln,4069.704,107,5588.867,64,5630727.478,98,53711525.772,5281431.93,"WY
(41.7572, -110.5986)"
4259,Endicott Generating,Michigan South Central Power Agency,Hillsdale,139.51,304,132.936,344,126267.192,313,1230690.782,96308.05,"MI
(42.0317, -84.755)"
4271,J P Madgett,Dairyland Power Cooperative,Buffalo,919.497,233,1239.413,204,2358813.105,184,22490586.921,1947946.29,"WI
(44.3026, -91.9126)"
4941,Navajo Generating Station,Salt River Project,Coconino,3585.347,119,12007.251,11,13967831.554,11,136138726.868,13310647.82,"AZ
(36.9047, -111.3886)"
6002,James H Miller Jr,Alabama Power Company,Jefferson,772.599,248,6964.139,43,21581314.575,1,205771589.575,19420236.25,"AL
(33.6319, -87.0597)"
6004,Pleasants Power Station,Allegheny Energy,Pleasants,9609.83,45,7404.393,38,6919134.048,72,65971958.609,7609692.12,"WV
(39.3668, -81.2944)"
6009,White Bluff,Entergy Corporation,Jefferson,18336.022,15,9719.359,22,6725178.783,75,64149532.295,6017564.49,"AR
(34.4236, -92.1392)"
6016,Duck Creek,"Illinois Power Resources Generating, LLC",Fulton,9.899,325,1070.534,219,2461573.232,178,23470382.409,2338467.45,"IL
(40.4663, -89.9841)"
6017,Newton,Illinois Power Generating Company,Jasper,7742.898,63,1618.483,176,3777566.554,132,36018004.954,3622487.81,"IL
(38.9361, -88.2778)"
6018,East Bend,"Duke Energy Kentucky, Inc.",Boone,2680.711,148,3511.736,105,4261735.084,127,41537357.159,4003949.48,"KY
(38.9031, -84.8511)"
6019,W H Zimmer Generating Station,"Duke Energy Zimmer, LLC, Dynegy Zimmer LLC",Clermont,9972.51,43,5457.76,70,5255808.28,106,51226199.182,5918555.42,"OH
(38.8689, -84.2286)"
6021,Craig,Tri-State Generation & Transmission,Moffat,3343.164,124,11469.462,13,9109054.76,46,86852137.404,9007467.19,"CO
(40.4627, -107.5912)"
6030,Coal Creek,Great River Energy,McLean,13275.943,26,6890.074,45,9138033.371,45,83935288.775,8775740.69,"ND
(47.3761, -101.1567)"
6031,Killen Station,Dayton Power and Light Company,Adams,10127.199,41,6058.171,58,3690242.877,137,35988024.651,3820267.76,"OH
(38.6903, -83.4803)"
6034,Belle River,Detroit Edison Company,Saint Clair,20827.494,11,6998.093,42,7238538.553,69,69017401.868,6944970.95,"MI
(42.7748, -82.4945)"
6041,H L Spurlock,East Kentucky Power Cooperative,Mason,4702.603,97,3398.726,111,8968185.094,47,87409218.609,9517311.49,"KY
(38.7, -83.8175)"
6052,Wansley (6052),Georgia Power Company,Heard,4855.563,95,2046.156,148,5302066.35,105,51677108.975,5126058.25,"GA
(33.4124, -85.0345)"
6055,Big Cajun 2,"Louisiana Generating, LLC",Pointe Coupee,12855.725,27,2905.899,120,4966561.702,114,47354734.49,4359202.77,"LA
(30.7261, -91.3669)"
6061,R D Morrow Senior Generating Plant,South Mississippi Elec. Power Assoc,Lamar,114.293,308,937.582,231,489764.58,279,4773558.956,434033.82,"MS
(31.2194, -89.3933)"
6064,Nearman Creek,Kansas City Board of Public Utilities,Wyandotte,2438.898,158,877.574,242,790132.756,253,7536835.099,669183.05,"KS
(39.1714, -94.6958)"
6065,Iatan,Kansas City Power & Light Company,Platte,249.547,289,2949.633,119,10392381.399,34,99088315.844,10449841.71,"MO
(39.4472, -94.98)"
6068,Jeffrey Energy Center,"Westar Energy, Inc.",Pottawatomie,1425.261,202,4972.723,78,11957910.625,23,114027380.408,11040149.84,"KS
(39.2825, -96.1153)"
6071,Trimble County,LGE and KU Energy LLC,Trimble,3558.647,120,2751.244,126,7719227.554,62,74373929.471,8350320.24,"KY
(38.5847, -85.4117)"
6073,Daniel Electric Generating Plant,Mississippi Power Company,Jackson,140.656,303,3492.882,106,2694408.002,169,26261337.85,2364638.75,"MS
(30.5335, -88.5574)"
6076,Colstrip,"Talen Montana, LLC",Rosebud,8726.189,54,13533.176,4,15742339.938,5,150122372.759,14728397.62,"MT
(45.8831, -106.614)"
6077,Gerald Gentleman Station,Nebraska Public Power District,Lincoln,22768.206,8,7233.113,41,8267009.45,56,78823545.6,8274391.5,"NE
(41.0808, -101.1408)"
6082,Somerset Operating Company  (Kintigh),"Somerset Operating Company, LLC",Niagara,1631.591,190,593.784,276,669753.353,262,6527811.295,677089.67,"NY
(43.3561, -78.6039)"
6085,R M Schahfer Generating Station,Northern Indiana Public Service Company,Jasper,1440.91,198,4382.995,85,5776818.027,94,55885307.72,5074809.93,"IN
(41.2175, -87.0239)"
6089,Lewis & Clark,Montana Dakota Utilities Company,Richland,34.578,319,623.679,272,372293.908,292,3426028.972,287156.56,"MT
(47.6788, -104.1569)"
6090,Sherburne County,Northern States Power (Xcel Energy),Sherburne,8504.353,58,8468.323,31,13371182.005,13,127490279.648,12728519.83,"MN
(45.3792, -93.8958)"
6094,Bruce Mansfield,FirstEnergy Generation Corporation,Beaver,16297.556,19,9128.538,27,11868110.903,25,113158978.765,12751848.11,"PA
(40.6344, -80.42)"
6095,Sooner,Oklahoma Gas & Electric Company,Noble,11194.396,36,2892.389,122,4644015.549,121,44308602.89,4300436.06,"OK
(36.4537, -97.0527)"
6096,Nebraska City Station,Omaha Public Power District,Otoe,14722.061,23,5287.194,72,9214968.523,43,87921260.356,9764404.95,"NE
(40.6215, -95.7765)"
6098,Big Stone,Otter Tail Power Company,Grant,827.015,245,961.881,228,2467530.794,177,23527180.736,2188752.57,"SD
(45.3047, -96.5103)"
6101,Wyodak,Pacificorp Energy Generation,Campbell,1967.202,176,2900.573,121,2688266.215,170,25631857.387,2316864.98,"WY
(44.2886, -105.3847)"
6106,Boardman,Portland General Electric Company,Morrow,3668.145,114,1878.407,158,2016241.522,200,19224271.607,2009404.66,"OR
(45.6933, -119.8056)"
6113,Gibson,"Duke Energy Indiana, Inc., Duke Energy Indiana, LLC",Gibson,14962.735,22,13190.138,6,16891616.99,3,164635698.822,18093010.52,"IN
(38.3722, -87.7661)"
6124,McIntosh (6124),Georgia Power Company,Effingham,117.078,306,138.996,342,50006.825,322,476813.5,40033.75,"GA
(32.3558, -81.1683)"
6136,Gibbons Creek Steam Electric Station,Texas Municipal Power Agency,Grimes,138.322,305,809.689,249,1385256.962,221,13550207.876,1207222.68,"TX
(30.6167, -96.0778)"
6137,A B Brown Generating Station,Southern Indiana Gas and Electric Company,Posey,3854.68,111,1676.538,170,2512393.879,175,24487296.092,2377215.26,"IN
(37.9053, -87.715)"
6138,Flint Creek Power Plant,Southwestern Electric Power Company,Benton,1636.987,188,3055.824,116,2390344.362,183,22791149.586,2192184.95,"AR
(36.2561, -94.5241)"
6139,Welsh Power Plant,Southwestern Electric Power Company,Titus,11046.951,37,4829.681,79,5381729.724,104,51313200.31,4802939.13,"TX
(33.0583, -94.844)"
6146,Martin Lake,Luminant Generation Company LLC,Rusk,25471.222,4,9348.668,25,13351679.458,15,122638758.875,12271204.41,"TX
(32.2597, -94.5703)"
6147,Monticello,Luminant Generation Company LLC,Titus,24958.282,5,5944.434,61,9145058.637,44,86829976.663,8159391.59,"TX
(33.0917, -95.0417)"
6155,Rush Island,Union Electric Company,Jefferson,17378.849,17,2663.932,131,6696231.296,77,63846637.411,6820615.15,"MO
(38.1306, -90.2625)"
6165,Hunter,Pacificorp Energy Generation,Emery,3197.309,127,8869.05,29,8501736.52,52,82862904.096,8837774.74,"UT
(39.1747, -111.0289)"
6166,Rockport,Indiana Michigan Power Company,Spencer,24341.095,6,12888.082,7,12446954.114,19,118678064.939,12330471.01,"IN
(37.9256, -87.0372)"
6170,Pleasant Prairie,Wisconsin Electric Power Company,Kenosha,1086.996,219,2214.249,141,7571957.426,66,72222738.862,6695585.59,"WI
(42.5381, -87.9033)"
6177,Coronado Generating Station,Salt River Project,Apache,589.307,260,5088.723,73,6171486.397,85,58844087.392,5595189.14,"AZ
(34.5778, -109.2717)"
6178,Coleto Creek,"Coleto Creek Power, LP",Goliad,8231.219,60,2049.047,147,3418102.728,146,32590568.128,3295550.92,"TX
(28.7128, -97.2142)"
6179,Sam Seymour,Lower Colorado River Authority,Fayette,1107.792,218,6131.942,56,12025294.444,22,114657549.381,10869911.06,"TX
(29.9172, -96.7506)"
6180,Oak Grove,Oak Grove Management Company LLC,Robertson,7060.514,71,4313.619,87,13174583.513,16,121044541.035,13024658.78,"TX
(31.185, -96.4853)"
6181,J T Deely,City of San Antonio,Bexar,7625.042,68,1280.961,201,3037847.425,156,29608671.825,2605745.25,"TX
(29.3072, -98.3228)"
6183,San Miguel,"San Miguel Electric Cooperative, Inc.",Atascosa,6814.706,74,2363.238,135,3342402.456,149,30700859.551,2637921.25,"TX
(28.7044, -98.4781)"
